text,label
"Government is secretly giving ₹5000 to voters",fake
"Vote online using this hidden election website",fake
"Forward this message to save democracy immediately",fake
"Election Commission hacked all EVM machines",fake
"Click this WhatsApp link to cast your vote",fake
"Free mobile phones will be given for voting",fake
"Secret online voting portal launched tonight",fake
"Elections have been cancelled secretly",fake
"Every voter will receive cash after voting",fake
"Share this urgent election fraud warning",fake
"Foreign hackers control Indian elections",fake
"Use Telegram to submit your vote online",fake
"Government tracking who you vote for",fake
"EVM machines automatically vote for one party",fake
"Election Commission allows voting through SMS",fake
"Forward this before it gets deleted",fake
"Secret voter list leaked online",fake
"Candidates are paying money secretly for votes",fake
"Online voting approved for all citizens",fake
"Police will arrest people who don't vote",fake
"Vote from home using Aadhaar OTP",fake
"Election results already decided secretly",fake
"Citizens can vote through WhatsApp now",fake
"Free gas cylinders for voters only",fake
"Election Commission website hacked by foreign countries",fake
"Every family gets rewards after voting",fake
"Secret EVM manipulation exposed yesterday",fake
"Forward this election alert to everyone",fake
"Government removed opposition votes secretly",fake
"Special voting app launched unofficially",fake
"Election officers selling votes illegally",fake
"Vote online before midnight using this link",fake
"Hidden election scam revealed today",fake
"Cash rewards available for first-time voters",fake
"Voting through Instagram now available",fake
"Election Commission secretly changed voter IDs",fake
"One community banned from voting secretly",fake
"Breaking news share urgently election fraud confirmed",fake
"Special secret booth created for VIP voters",fake
"Government giving free laptops for votes",fake
"Your Aadhaar automatically casts votes",fake
"Vote from home using missed call service",fake
"Election Commission deleted millions of votes",fake
"Forward this message before elections begin",fake
"Hidden foreign funding controlling elections",fake
"Vote online using QR code verification",fake
"Secret party alliance manipulating EVMs",fake
"Citizens can vote using Facebook account",fake
"Government rewarding loyal voters secretly",fake
"Emergency election law passed secretly overnight",fake
"Citizens above 18 years of age are eligible to vote in India",real
"Voter registration can be completed through voters.eci.gov.in",real
"Form 6 is used for new voter registration",real
"Election Commission of India conducts national elections",real
"Voters should carry valid ID proof to polling booths",real
"EPIC card is an accepted voter identification document",real
"Polling booth details can be checked online",real
"Voters can update address details using Form 8",real
"Election dates are announced officially by the Election Commission",real
"Indian citizens can apply for voter ID online",real
"Voter helpline services are available through the ECI portal",real
"Polling booths open at scheduled election timings",real
"Election Commission promotes free and fair elections",real
"Voters should verify their names in the electoral roll",real
"Official election updates are available on eci.gov.in",real
"Voter registration requires proof of identity and address",real
"Citizens can track voter application status online",real
"Election officers verify voter registration applications",real
"Form 7 is used for objection or deletion in voter lists",real
"Election Commission provides voter awareness programs",real
"Voters can locate polling stations using official portals",real
"Eligible voters should register before election deadlines",real
"Election campaigns must follow Election Commission guidelines",real
"Model Code of Conduct applies during elections",real
"Polling staff are appointed by the Election Commission",real
"Electronic Voting Machines are used in Indian elections",real
"Voters receive ink marks after casting votes",real
"Election Commission monitors election transparency",real
"Indian elections are conducted in multiple phases when required",real
"Booth Level Officers assist with voter verification",real
"Voters can correct personal details in electoral rolls",real
"Election Commission publishes official voter lists",real
"Polling agents observe voting procedures at booths",real
"Postal ballots are available for eligible categories",real
"Election observers monitor election activities",real
"Citizens should use official election websites for information",real
"Voter awareness campaigns encourage democratic participation",real
"Election Commission provides accessibility support for disabled voters",real
"Polling booths follow security protocols during elections",real
"Election rules prohibit bribing voters",real
"Citizens can file election complaints through official channels",real
"Election officials verify voter identity before voting",real
"Polling stations are assigned based on voter address",real
"Election Commission publishes election schedules publicly",real
"Voting is conducted using secure election procedures",real
"Voters should check polling booth locations before election day",real
"Election Commission provides voter education resources",real
"Indian democracy depends on citizen participation in voting",real
"Official voter services are available through NVSP portal",real
"Election Commission encourages ethical voting practices",real
